name,thumbnail.path,thumbnail.extension
A.I.M.,http://i.annihil.us/u/prod/marvel/i/mg/6/20/52602f21f29ec,jpg
Abomination (Emil Blonsky),http://i.annihil.us/u/prod/marvel/i/mg/9/50/4ce18691cbf04,jpg
Absorbing Man,http://i.annihil.us/u/prod/marvel/i/mg/1/b0/5269678709fb7,jpg
Abyss,http://i.annihil.us/u/prod/marvel/i/mg/e/e0/4c004214c1502,jpg
Agent Zero,http://i.annihil.us/u/prod/marvel/i/mg/f/60/4c0042121d790,jpg
Amiko,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available,jpg
Ancient One,http://i.annihil.us/u/prod/marvel/i/mg/b/b0/4ce59ea2103ac,jpg
Annihilus,http://i.annihil.us/u/prod/marvel/i/mg/5/f0/528d31f20a2f6,jpg
Apocalypse,http://i.annihil.us/u/prod/marvel/i/mg/f/e0/526166076a1d0,jpg
Spider-Girl (Anya Corazon),http://i.annihil.us/u/prod/marvel/i/mg/a/10/528d369de3e4f,jpg
Arcade,http://i.annihil.us/u/prod/marvel/i/mg/2/a0/4c0042091ab69,jpg
Archangel,http://i.annihil.us/u/prod/marvel/i/mg/8/03/526165ed93180,jpg
Arclight,http://i.annihil.us/u/prod/marvel/i/mg/5/f0/4c0042067fd8b,jpg
Artiee,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available,jpg
Askew-Tronics,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available,jpg
Aurora,http://i.annihil.us/u/prod/marvel/i/mg/f/10/4c004203f1072,jpg
Avalanche,http://i.annihil.us/u/prod/marvel/i/mg/f/10/4c0042010d383,jpg
Avengers,http://i.annihil.us/u/prod/marvel/i/mg/9/20/5102c774ebae7,jpg
Lenny Balinger,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available,jpg
Banshee,http://i.annihil.us/u/prod/marvel/i/mg/b/03/52740e4619f54,jpg
Baron Strucker,http://i.annihil.us/u/prod/marvel/i/mg/8/80/4c0041fb5a90d,jpg
Baron Zemo (Heinrich Zemo),http://i.annihil.us/u/prod/marvel/i/mg/9/60/4c0041f84c9fe,jpg
Bastion,http://i.annihil.us/u/prod/marvel/i/mg/d/80/52695253215f4,jpg
Batroc the Leaper,http://i.annihil.us/u/prod/marvel/i/mg/c/80/4ce59eb840da5,gif
Battering Ram,http://i.annihil.us/u/prod/marvel/i/mg/f/60/4c002e0305708,gif
Beak,http://i.annihil.us/u/prod/marvel/i/mg/5/90/4c0040b8329ad,jpg
Beast,http://i.annihil.us/u/prod/marvel/i/mg/2/80/511a79a0451a3,jpg
Becatron,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available,jpg
Bedlam,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available,jpg
Beef,http://i.annihil.us/u/prod/marvel/i/mg/f/60/4c002e0305708,gif
Beetle,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available,jpg
Beta-Ray Bill,http://i.annihil.us/u/prod/marvel/i/mg/3/90/52602f3e88d25,jpg
Big Wheel,http://i.annihil.us/u/prod/marvel/i/mg/3/00/4c0040b26877d,jpg
Bishop,http://i.annihil.us/u/prod/marvel/i/mg/3/70/52602f4b42d98,jpg
Black Bird,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available,jpg
Black Bolt,http://i.annihil.us/u/prod/marvel/i/mg/1/20/52696929dc721,jpg
Black Cat,http://i.annihil.us/u/prod/marvel/i/mg/e/03/526952357d91c,jpg
Black Knight,http://i.annihil.us/u/prod/marvel/i/mg/9/b0/4ce59ed1590a7,jpg
Black Panther,http://i.annihil.us/u/prod/marvel/i/mg/6/60/5261a80a67e7d,jpg
Black Tom,http://i.annihil.us/u/prod/marvel/i/mg/f/70/4c0040a736154,jpg
Black Widow,http://i.annihil.us/u/prod/marvel/i/mg/f/30/50fecad1f395b,jpg
Blackheart,http://i.annihil.us/u/prod/marvel/i/mg/a/f0/4c0040a0ee5ba,jpg
Blade,http://i.annihil.us/u/prod/marvel/i/mg/8/a0/523ca6f2b11e4,jpg
Blastaar,http://i.annihil.us/u/prod/marvel/i/mg/f/e0/52695222c22e0,jpg
Blink,http://i.annihil.us/u/prod/marvel/i/mg/f/d0/4ce59eeb38a9a,jpg
Blizzard,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available,jpg
Blob,http://i.annihil.us/u/prod/marvel/i/mg/1/10/4c7c648178328,png
Blockbuster,http://i.annihil.us/u/prod/marvel/i/mg/3/60/4c0040969fa92,jpg
Blok,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available,jpg
Bloke,http://i.annihil.us/u/prod/marvel/i/mg/2/60/4c00409415b3b,jpg
Bloodscream,http://i.annihil.us/u/prod/marvel/i/mg/6/e0/4c7c647c3f069,jpg
Bloodstorm,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available,jpg
Boomer,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available,jpg
Box,http://i.annihil.us/u/prod/marvel/i/mg/9/e0/4ce59ef63362d,jpg
GW Bridge,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available,jpg
Brood,http://i.annihil.us/u/prod/marvel/i/mg/d/40/5260321259f91,jpg
Brotherhood of Evil Mutants,http://i.annihil.us/u/prod/marvel/i/mg/5/90/4c00408ec2c08,jpg
Brute,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available,jpg
Bullseye,http://i.annihil.us/u/prod/marvel/i/mg/6/70/5202895b2ddf5,jpg
Bushwacker,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available,jpg
Cable,http://i.annihil.us/u/prod/marvel/i/mg/3/90/526165df2b584,jpg
Luke Cage,http://i.annihil.us/u/prod/marvel/i/mg/6/a0/5112d8b6e596c,jpg
Caliban,http://i.annihil.us/u/prod/marvel/i/mg/f/60/52bc8ac6e48db,jpg
Callisto,http://i.annihil.us/u/prod/marvel/i/mg/f/90/4c004082711b8,jpg
Calypso,http://i.annihil.us/u/prod/marvel/i/mg/9/b0/4ce59f17087ab,jpg
Cannonball,http://i.annihil.us/u/prod/marvel/i/mg/5/c0/4c00407fb91b5,jpg
Captain America,http://i.annihil.us/u/prod/marvel/i/mg/2/c0/5261a81d0154e,jpg
Captain Britain,http://i.annihil.us/u/prod/marvel/i/mg/9/50/4dbf0e5d57226,jpg
Captain Marvel (Mar-Vell),http://i.annihil.us/u/prod/marvel/i/mg/f/60/526032048d1a1,jpg
Captain Stacy,http://i.annihil.us/u/prod/marvel/i/mg/2/a0/4c00407752be2,jpg
Cargill,http://i.annihil.us/u/prod/marvel/i/mg/f/50/4c0040744c205,jpg
Carnage,http://i.annihil.us/u/prod/marvel/i/mg/c/20/4ebb024c894db,jpg
Sharon Carter,http://i.annihil.us/u/prod/marvel/i/mg/6/d0/4ce59f2323b88,jpg
Catseye,http://i.annihil.us/u/prod/marvel/i/mg/f/60/4c002e0305708,gif
Cerebro,http://i.annihil.us/u/prod/marvel/i/mg/f/60/4c002e0305708,gif
Ch'od,http://i.annihil.us/u/prod/marvel/i/mg/f/60/4ce59f2dcd04d,jpg
Chamber,http://i.annihil.us/u/prod/marvel/i/mg/2/80/4c00406e4731b,jpg
Chameleon,http://i.annihil.us/u/prod/marvel/i/mg/7/00/4ce59f390463f,jpg
Robin Chapel,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available,jpg
Lila Cheney,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available,jpg
Chimera,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available,jpg
Chronomancer,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available,jpg
Clea,http://i.annihil.us/u/prod/marvel/i/mg/f/60/4c00406b55161,jpg
Albert Cleary,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available,jpg
Cloak,http://i.annihil.us/u/prod/marvel/i/mg/5/e0/528d31d76a2b0,jpg
Malcolm Colcord,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available,jpg
Colossus,http://i.annihil.us/u/prod/marvel/i/mg/6/e0/51127cf4b996f,jpg
Constrictor,http://i.annihil.us/u/prod/marvel/i/mg/2/b0/4c004065a3a78,jpg
Cornelius,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available,jpg
Corsair,http://i.annihil.us/u/prod/marvel/i/mg/5/f0/4c004062d89bd,jpg
Fabian Cortez,http://i.annihil.us/u/prod/marvel/i/mg/4/f0/4c0040603dda1,jpg
Count Nefaria,http://i.annihil.us/u/prod/marvel/i/mg/f/a0/4c00405d04674,jpg
Countess,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available,jpg
Crimson Dynamo,http://i.annihil.us/u/prod/marvel/i/mg/3/b0/526955e3c7c41,jpg
Crossbones,http://i.annihil.us/u/prod/marvel/i/mg/1/c0/4c00405a403c0,jpg
Crule,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available,jpg
Crusher Hogan,http://i.annihil.us/u/prod/marvel/i/mg/5/90/4c004057a5bc6,jpg
Crystal,http://i.annihil.us/u/prod/marvel/i/mg/6/c0/52695564bcf1e,jpg
Cyber,http://i.annihil.us/u/prod/marvel/i/mg/1/f0/4c0040521bc06,jpg
Cyclops,http://i.annihil.us/u/prod/marvel/i/mg/6/70/526547e2d90ad,jpg
Dagger,http://i.annihil.us/u/prod/marvel/i/mg/8/e0/528d31c9eac10,jpg
Damage Control,http://i.annihil.us/u/prod/marvel/i/mg/5/00/4c00404b5e1a2,jpg
Daredevil,http://i.annihil.us/u/prod/marvel/i/mg/d/50/50febb79985ee,jpg
Dark Phoenix,http://i.annihil.us/u/prod/marvel/i/mg/9/e0/4ce59f6c7e332,jpg
Darkstar,http://i.annihil.us/u/prod/marvel/i/mg/d/20/4ce59f77ea6f1,jpg
Dazzler,http://i.annihil.us/u/prod/marvel/i/mg/6/10/4fe364b0a2177,jpg
